modele,kilometrage,puissance,parking,GPS,Climatisation,Boite_auto,Systeme_GetAround,Regulateur,Pneus_hiver,rental_price_per_day,catégorie,type_km,couleur,essence,type
Peugeot,128940,110,True,False,False,False,False,False,True,88,Généraliste,km élevé,Noir,essence,Cabriolet
Peugeot,126213,225,False,False,False,False,False,True,True,130,Généraliste,km élevé,Blanc,essence,Cabriolet
Peugeot,24868,100,False,True,False,False,False,False,True,176,Généraliste,km faible,Gris,essence,Cabriolet
Citroën,90401,135,True,True,False,False,True,True,True,162,Généraliste,km standard,Gris,diesel,Cabriolet
Peugeot,46963,140,False,True,False,False,False,True,True,153,Généraliste,km faible,Orange,diesel,Cabriolet
Peugeot,43662,180,True,False,False,False,True,False,True,144,Généraliste,km faible,Orange,essence,Cabriolet
Peugeot,196092,85,True,False,False,False,False,False,False,42,Généraliste,km élevé,Bleu,essence,Cabriolet
Peugeot,113678,190,True,True,False,False,True,True,True,173,Généraliste,km standard,Noir,diesel,Cabriolet
Citroën,65988,135,True,True,False,False,True,True,True,169,Généraliste,km standard,Gris,diesel,Cabriolet
Peugeot,123809,125,True,False,False,False,False,True,True,81,Généraliste,km élevé,Noir,essence,Cabriolet
Citroën,181252,120,True,True,False,False,True,False,True,105,Généraliste,km élevé,Noir,diesel,Cabriolet
Citroën,195114,105,True,True,False,False,False,True,True,99,Généraliste,km élevé,Rouge,diesel,Cabriolet
Peugeot,82761,110,True,False,False,False,False,True,True,97,Généraliste,km standard,Gris,essence,Cabriolet
Peugeot,25050,100,False,True,False,False,False,False,True,176,Généraliste,km faible,Gris,essence,Cabriolet
Citroën,64832,135,True,True,False,False,True,True,True,166,Généraliste,km standard,Gris,diesel,Cabriolet
Peugeot,240788,120,True,False,False,False,False,False,True,74,Généraliste,km élevé,Gris,diesel,Cabriolet
Peugeot,124516,125,True,False,False,False,False,True,True,79,Généraliste,km élevé,Noir,essence,Cabriolet
Peugeot,187294,105,True,False,False,False,False,True,True,49,Généraliste,km élevé,Rouge,essence,Cabriolet
Peugeot,24452,270,True,False,False,False,False,False,True,82,Généraliste,km faible,Gris,essence,Cabriolet
Peugeot,17267,110,True,True,False,False,True,False,True,156,Généraliste,km faible,Blanc,diesel,Cabriolet
Citroën,194192,120,True,True,False,False,True,False,True,109,Généraliste,km élevé,Beige,diesel,Cabriolet
Citroën,36696,120,True,True,False,False,True,False,True,185,Généraliste,km faible,Noir,diesel,Cabriolet
Peugeot,270907,236,True,False,False,False,False,True,True,110,Généraliste,km élevé,Noir,essence,Cabriolet
PGO,142483,180,True,True,False,False,True,False,True,126,Niche,km élevé,Bleu,diesel,Cabriolet
Peugeot,223269,120,True,True,False,False,False,False,True,89,Généraliste,km élevé,Bleu,diesel,Cabriolet
Peugeot,158805,130,True,False,False,False,True,True,True,95,Généraliste,km élevé,Noir,diesel,Cabriolet
Peugeot,13131,110,False,True,False,False,True,False,True,156,Généraliste,km faible,Gris,diesel,Cabriolet
Peugeot,187104,105,True,False,False,False,False,True,True,51,Généraliste,km élevé,Rouge,essence,Cabriolet
Citroën,20996,135,True,False,False,False,True,False,True,146,Généraliste,km faible,Noir,essence,Coupé
Citroën,50222,135,False,False,False,False,False,False,False,162,Généraliste,km standard,Gris,diesel,Coupé
Citroën,147180,100,True,False,True,False,False,False,True,92,Généraliste,km élevé,Noir,diesel,Coupé
Peugeot,51618,105,False,True,False,False,True,False,True,131,Généraliste,km standard,Gris,diesel,Coupé
Citroën,104433,120,True,False,False,False,True,False,True,87,Généraliste,km standard,Argent,diesel,Coupé
Citroën,77334,135,False,False,False,False,True,False,True,154,Généraliste,km standard,Gris,diesel,Coupé
Citroën,55329,135,False,False,False,False,False,False,False,163,Généraliste,km standard,Noir,diesel,Coupé
Citroën,14041,140,True,True,False,False,True,True,True,166,Généraliste,km faible,Bleu,diesel,Coupé
Renault,78638,160,False,True,False,False,False,True,True,135,Généraliste,km standard,Noir,diesel,Coupé
Citroën,329173,110,True,False,False,False,False,False,True,48,Généraliste,km élevé,Argent,diesel,Coupé
Renault,34082,240,False,True,True,False,True,True,True,174,Généraliste,km faible,Gris,essence,Coupé
Renault,265751,85,False,False,False,False,False,False,False,32,Généraliste,km élevé,Argent,essence,Coupé
Citroën,181644,135,True,True,False,False,True,False,True,138,Généraliste,km élevé,Bleu,diesel,Coupé
Renault,26062,225,True,True,False,True,True,True,True,175,Généraliste,km faible,Bleu,essence,Coupé
Citroën,56250,160,False,False,False,False,False,False,False,169,Généraliste,km standard,Bleu,diesel,Coupé
Renault,45536,250,True,True,True,False,True,True,True,197,Généraliste,km faible,Blanc,essence,Coupé
Renault,69695,230,True,True,False,False,True,True,True,191,Généraliste,km standard,Bleu,diesel,Coupé
Citroën,61300,135,True,True,False,False,True,False,True,166,Généraliste,km standard,Noir,diesel,Coupé
Renault,197407,230,True,True,True,False,True,True,True,179,Généraliste,km élevé,Bleu,diesel,Coupé
Citroën,93066,135,False,False,False,True,True,False,True,109,Généraliste,km standard,Noir,diesel,Coupé
Peugeot,29925,309,True,True,False,False,True,True,True,217,Généraliste,km faible,Argent,essence,Coupé
Renault,67403,230,True,True,True,True,True,True,True,235,Généraliste,km standard,Noir,diesel,Coupé
Citroën,199614,120,True,True,True,False,True,True,True,127,Généraliste,km élevé,Noir,diesel,Coupé
Peugeot,27786,140,False,True,False,False,False,True,True,162,Généraliste,km faible,Blanc,diesel,Coupé
Citroën,80165,135,False,False,False,False,False,False,False,140,Généraliste,km standard,Blanc,diesel,Coupé
Citroën,69410,317,True,True,False,False,False,True,True,232,Généraliste,km standard,Blanc,essence,Coupé
Peugeot,170550,309,True,True,False,False,True,False,True,167,Généraliste,km élevé,Gris,essence,Coupé
Citroën,42077,135,False,False,False,False,True,True,True,150,Généraliste,km faible,Noir,diesel,Coupé
Renault,92527,230,True,True,True,False,False,False,True,179,Généraliste,km standard,Bleu,diesel,Coupé
Peugeot,23949,100,False,True,False,False,True,False,True,162,Généraliste,km faible,Bleu,diesel,Coupé
Citroën,175311,130,True,False,False,True,True,False,True,93,Généraliste,km élevé,Noir,diesel,Coupé
Renault,97806,230,True,True,False,True,True,True,True,177,Généraliste,km standard,Noir,diesel,Coupé
Renault,141346,230,True,True,True,False,True,True,True,200,Généraliste,km élevé,Bleu,diesel,Coupé
Peugeot,220101,130,False,False,False,False,True,False,True,94,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,64386,135,False,False,False,False,True,True,True,154,Généraliste,km standard,Gris,diesel,Coupé
Citroën,54993,135,False,False,False,False,False,False,False,136,Généraliste,km standard,Noir,diesel,Coupé
Citroën,152383,135,True,False,False,False,True,True,True,130,Généraliste,km élevé,Noir,diesel,Coupé
Renault,69736,240,True,True,True,False,True,True,True,173,Généraliste,km standard,Gris,essence,Coupé
Citroën,202812,130,False,False,False,False,True,False,True,91,Généraliste,km élevé,Argent,diesel,Coupé
Renault,69768,230,True,True,True,False,True,False,True,192,Généraliste,km standard,Noir,diesel,Coupé
Peugeot,220296,130,False,False,False,False,True,False,True,87,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,125965,135,False,True,False,False,True,True,True,153,Généraliste,km élevé,Bleu,diesel,Coupé
Citroën,193330,120,True,True,False,False,True,True,True,152,Généraliste,km élevé,Gris,diesel,Coupé
Citroën,147130,135,False,True,False,False,True,False,True,152,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,96260,135,False,True,False,False,True,True,True,159,Généraliste,km standard,Blanc,diesel,Coupé
Peugeot,99283,309,False,False,False,False,True,False,True,169,Généraliste,km standard,Argent,essence,Coupé
Citroën,48431,135,True,True,False,True,True,True,True,164,Généraliste,km faible,Gris,diesel,Coupé
PGO,170862,170,True,False,False,False,True,True,True,96,Niche,km élevé,Blanc,diesel,Coupé
Citroën,100154,135,True,True,False,False,True,False,True,150,Généraliste,km standard,Gris,diesel,Coupé
Citroën,187967,120,True,True,False,False,False,True,True,56,Généraliste,km élevé,Gris,essence,Coupé
Citroën,39228,135,False,False,False,False,True,False,True,121,Généraliste,km faible,Gris,diesel,Coupé
Renault,90763,230,False,True,True,False,False,True,False,162,Généraliste,km standard,Blanc,diesel,Coupé
Citroën,342768,135,False,True,False,False,True,False,True,91,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,188335,130,False,False,False,False,True,False,True,93,Généraliste,km élevé,Gris,diesel,Coupé
Renault,37619,240,True,False,False,False,True,True,True,166,Généraliste,km faible,Noir,essence,Coupé
Citroën,107375,135,True,True,False,False,True,True,True,154,Généraliste,km standard,Blanc,diesel,Coupé
Peugeot,87304,225,True,True,True,False,True,True,True,153,Généraliste,km standard,Blanc,essence,Coupé
Citroën,33947,135,False,True,False,False,True,True,True,167,Généraliste,km faible,Gris,essence,Coupé
Citroën,61429,135,True,True,False,False,True,False,True,164,Généraliste,km standard,Noir,diesel,Coupé
Renault,149943,190,True,True,True,False,True,True,True,102,Généraliste,km élevé,Noir,essence,Coupé
Renault,36139,230,True,True,False,False,True,False,True,179,Généraliste,km faible,Beige,diesel,Coupé
Citroën,41353,135,False,False,False,False,True,True,True,148,Généraliste,km faible,Noir,diesel,Coupé
Renault,121100,230,True,True,True,True,True,True,True,169,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,80540,120,False,True,False,True,True,False,True,148,Généraliste,km standard,Noir,essence,Coupé
Renault,126685,230,True,True,True,True,True,True,True,191,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,12634,142,True,True,False,False,True,False,True,133,Généraliste,km faible,Gris,diesel,Coupé
Citroën,47902,140,True,True,False,False,True,True,True,175,Généraliste,km faible,Noir,diesel,Coupé
Renault,63421,230,True,True,True,True,True,True,True,214,Généraliste,km standard,Bleu,diesel,Coupé
Peugeot,70880,190,False,True,False,False,False,True,True,169,Généraliste,km standard,Bleu,diesel,Coupé
Citroën,174740,135,True,True,True,False,True,True,True,150,Généraliste,km élevé,Blanc,diesel,Coupé
Renault,162327,190,True,True,False,True,True,True,True,153,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,45299,120,True,True,False,False,True,False,True,166,Généraliste,km faible,Marron,diesel,Coupé
Citroën,268780,225,True,True,True,False,True,True,True,114,Généraliste,km élevé,Blanc,essence,Coupé
Citroën,61620,120,False,True,False,True,True,True,True,164,Généraliste,km standard,Bleu,diesel,Coupé
Citroën,116134,135,False,True,False,False,True,True,True,148,Généraliste,km standard,Gris,diesel,Coupé
Citroën,46706,120,True,True,False,False,True,True,True,155,Généraliste,km faible,Bleu,diesel,Coupé
Citroën,260217,120,True,True,False,False,True,True,True,92,Généraliste,km élevé,Gris,diesel,Coupé
Citroën,143853,120,True,True,True,False,True,True,True,130,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,65008,140,True,False,True,False,True,True,True,156,Généraliste,km standard,Blanc,diesel,Coupé
Citroën,189137,130,False,False,False,False,True,False,True,93,Généraliste,km élevé,Gris,diesel,Coupé
Citroën,140694,120,True,True,False,False,True,True,True,135,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,202363,120,True,False,False,False,True,False,True,87,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,221500,155,True,True,True,False,True,True,True,96,Généraliste,km élevé,Gris,essence,Coupé
Citroën,47876,120,True,True,False,False,True,True,True,158,Généraliste,km faible,Bleu,diesel,Coupé
Citroën,224613,130,False,False,False,False,True,False,True,94,Généraliste,km élevé,Blanc,diesel,Coupé
Citroën,274992,210,True,True,False,False,True,True,True,138,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,91931,135,False,False,False,True,True,False,True,112,Généraliste,km standard,Noir,diesel,Coupé
Peugeot,23886,110,False,True,False,False,True,False,True,129,Généraliste,km faible,Rouge,diesel,Coupé
Citroën,140464,105,False,False,False,False,False,True,True,94,Généraliste,km élevé,Bleu,diesel,Coupé
Peugeot,50421,100,True,True,False,False,False,True,True,131,Généraliste,km standard,Gris,diesel,Coupé
Renault,136545,230,True,True,True,False,True,True,True,171,Généraliste,km élevé,Noir,diesel,Coupé
Peugeot,169970,309,True,True,False,False,True,False,True,189,Généraliste,km élevé,Gris,essence,Coupé
PGO,122991,170,True,True,True,False,True,False,True,106,Niche,km élevé,Vert,diesel,Coupé
Citroën,102178,120,True,False,False,False,True,False,True,103,Généraliste,km standard,Gris,essence,Coupé
Renault,173302,210,True,True,True,False,True,False,True,139,Généraliste,km élevé,Gris,diesel,Coupé
Citroën,202811,120,True,False,False,False,True,False,True,88,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,169722,145,True,False,False,False,True,False,True,91,Généraliste,km élevé,Gris,diesel,Coupé
Citroën,129338,135,True,True,False,False,True,False,True,113,Généraliste,km élevé,Bleu,diesel,Coupé
Citroën,186950,120,True,True,False,False,False,True,True,52,Généraliste,km élevé,Gris,essence,Coupé
Peugeot,34463,105,False,False,True,False,False,True,True,154,Généraliste,km faible,Bleu,diesel,Coupé
Citroën,110818,135,True,True,True,False,False,False,True,122,Généraliste,km standard,Noir,diesel,Coupé
Citroën,200510,135,True,True,False,False,True,False,True,104,Généraliste,km élevé,Gris,diesel,Coupé
Renault,161794,190,True,True,False,True,True,True,True,152,Généraliste,km élevé,Noir,diesel,Coupé
Citroën,227832,120,True,False,False,False,False,False,True,73,Généraliste,km élevé,Noir,diesel,Break
Peugeot,108245,100,True,True,True,False,False,False,True,108,Généraliste,km standard,Marron,diesel,Break
Renault,221018,135,True,True,False,True,True,False,True,128,Généraliste,km élevé,Noir,diesel,Break
Peugeot,101658,100,False,True,False,False,False,False,True,107,Généraliste,km standard,Gris,diesel,Break
Citroën,163181,120,False,False,False,False,False,False,True,91,Généraliste,km élevé,Gris,diesel,Break
Citroën,143180,135,False,True,False,False,True,False,True,114,Généraliste,km élevé,Noir,diesel,Break
Renault,146310,85,False,False,False,False,False,False,True,87,Généraliste,km élevé,Noir,diesel,Break
PGO,107560,190,False,False,False,False,False,False,False,120,Niche,km standard,Gris,diesel,Break
Peugeot,78425,100,False,True,False,False,False,False,True,113,Généraliste,km standard,Beige,diesel,Break
Renault,95078,140,False,False,False,False,False,False,False,146,Généraliste,km standard,Noir,diesel,Break
Renault,246424,120,True,True,False,False,False,False,True,77,Généraliste,km élevé,Noir,diesel,Break
Peugeot,203950,105,False,True,False,False,False,False,True,89,Généraliste,km élevé,Blanc,diesel,Break
Renault,158002,85,False,False,False,False,False,False,True,94,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,193476,105,False,False,False,False,False,False,False,81,Généraliste,km élevé,Argent,diesel,Break
Citroën,209208,135,False,False,False,False,False,False,False,28,Généraliste,km élevé,Noir,diesel,Break
Renault,135119,85,False,True,False,False,False,False,True,104,Généraliste,km élevé,Blanc,diesel,Break
Renault,199603,120,True,True,True,False,True,False,True,114,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,41142,105,False,False,False,False,False,False,False,135,Généraliste,km faible,Bleu,diesel,Break
Renault,46738,85,False,False,False,False,False,False,False,120,Généraliste,km faible,Noir,diesel,Break
Citroën,146639,135,False,True,False,False,False,False,True,28,Généraliste,km élevé,Argent,diesel,Break
Renault,159983,85,False,False,False,False,False,False,False,28,Généraliste,km élevé,Gris,diesel,Break
Renault,156627,85,False,True,False,False,False,False,True,95,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,146338,105,False,True,False,False,False,False,True,115,Généraliste,km élevé,Noir,diesel,Break
Renault,270884,100,True,False,False,False,False,False,True,33,Généraliste,km élevé,Bleu,diesel,Break
Audi,175096,160,False,False,False,False,False,False,False,81,Premium,km élevé,Bleu,diesel,Break
Citroën,155503,135,False,True,False,False,False,False,True,110,Généraliste,km élevé,Bleu,diesel,Break
Audi,134094,160,False,False,False,False,False,False,False,126,Premium,km élevé,Blanc,diesel,Break
Peugeot,156885,100,False,False,False,False,False,False,True,101,Généraliste,km élevé,Gris,diesel,Break
Citroën,302525,100,False,False,False,False,False,False,True,32,Généraliste,km élevé,Gris,diesel,Break
Citroën,181052,120,False,True,False,False,False,False,True,107,Généraliste,km élevé,Noir,diesel,Break
Audi,106054,160,False,True,False,False,False,False,True,137,Premium,km standard,Noir,diesel,Break
Renault,146528,140,True,True,True,False,False,False,True,136,Généraliste,km élevé,Blanc,diesel,Break
Citroën,183403,135,False,True,False,False,False,False,True,107,Généraliste,km élevé,Gris,diesel,Break
Renault,130852,85,False,False,False,False,False,False,False,88,Généraliste,km élevé,Blanc,diesel,Break
Citroën,186697,135,False,False,False,False,False,False,False,49,Généraliste,km élevé,Blanc,diesel,Break
Citroën,132746,135,False,False,False,False,False,False,False,109,Généraliste,km élevé,Blanc,diesel,Break
Citroën,101013,120,False,True,False,False,False,False,True,28,Généraliste,km standard,Bleu,diesel,Break
Renault,130019,85,False,False,False,False,False,False,False,28,Généraliste,km élevé,Blanc,diesel,Break
Citroën,90747,160,False,False,False,False,False,False,False,106,Généraliste,km standard,Gris,diesel,Break
Renault,145179,85,False,True,False,False,False,False,True,97,Généraliste,km élevé,Marron,diesel,Break
Citroën,87171,135,False,False,False,False,False,False,False,137,Généraliste,km standard,Argent,diesel,Break
Citroën,110212,135,False,False,False,False,False,False,False,95,Généraliste,km standard,Noir,diesel,Break
Peugeot,11917,110,False,False,False,False,False,False,False,153,Généraliste,km faible,Blanc,diesel,Break
Peugeot,12508,110,False,False,False,False,False,False,False,154,Généraliste,km faible,Blanc,diesel,Break
PGO,149525,190,False,False,False,False,False,False,False,124,Niche,km élevé,Argent,diesel,Break
Peugeot,122357,105,False,True,False,False,False,False,True,117,Généraliste,km élevé,Gris,diesel,Break
Citroën,165516,135,False,False,False,False,False,False,True,28,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,158853,100,True,False,False,False,False,False,True,104,Généraliste,km élevé,Noir,diesel,Break
Peugeot,167280,105,False,True,False,False,False,False,True,115,Généraliste,km élevé,Blanc,diesel,Break
Citroën,69978,135,False,False,False,False,False,False,False,134,Généraliste,km standard,Gris,diesel,Break
Peugeot,105105,105,False,False,False,False,False,False,False,77,Généraliste,km standard,Blanc,diesel,Break
Peugeot,170164,105,False,True,False,False,False,False,True,28,Généraliste,km élevé,Gris,diesel,Break
Peugeot,153585,105,False,False,False,False,False,False,False,117,Généraliste,km élevé,Blanc,diesel,Break
Audi,156127,190,True,True,False,False,True,True,True,133,Premium,km élevé,Noir,diesel,Break
Citroën,117722,122,False,False,False,False,False,False,True,96,Généraliste,km standard,Noir,diesel,Break
Citroën,236095,135,False,False,False,False,False,False,True,78,Généraliste,km élevé,Bleu,diesel,Break
Renault,142031,85,False,True,False,False,False,False,True,114,Généraliste,km élevé,Noir,diesel,Break
Peugeot,150807,105,False,True,False,False,False,False,True,107,Généraliste,km élevé,Noir,diesel,Break
Peugeot,185085,105,False,True,False,False,False,False,True,96,Généraliste,km élevé,Blanc,diesel,Break
Citroën,163879,120,False,False,False,False,False,False,True,93,Généraliste,km élevé,Gris,diesel,Break
Audi,137744,200,False,True,True,False,True,False,False,142,Premium,km élevé,Noir,essence,Break
Renault,94829,85,False,False,False,False,False,False,False,112,Généraliste,km standard,Gris,diesel,Break
PGO,127461,190,False,True,False,False,False,False,True,28,Niche,km élevé,Argent,diesel,Break
Citroën,58673,135,False,False,False,False,False,False,False,135,Généraliste,km standard,Gris,diesel,Break
Citroën,183683,135,False,False,False,False,False,False,True,35,Généraliste,km élevé,Noir,diesel,Break
Citroën,153236,135,False,True,False,True,False,False,True,109,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,65933,105,False,False,False,False,False,False,False,123,Généraliste,km standard,Blanc,diesel,Break
Citroën,77419,120,False,False,False,False,False,False,False,110,Généraliste,km standard,Gris,diesel,Break
Citroën,170322,120,False,False,False,False,False,False,False,113,Généraliste,km élevé,Noir,diesel,Break
Renault,83133,85,False,True,False,False,False,False,True,120,Généraliste,km standard,Blanc,diesel,Break
Citroën,140324,135,False,False,False,False,False,False,False,88,Généraliste,km élevé,Argent,diesel,Break
Peugeot,147097,105,False,False,False,False,False,False,False,28,Généraliste,km élevé,Noir,diesel,Break
Peugeot,132871,85,True,False,False,False,False,False,True,66,Généraliste,km élevé,Gris,diesel,Break
Peugeot,109741,100,True,True,False,False,False,False,True,110,Généraliste,km standard,Gris,diesel,Break
Citroën,168016,135,False,True,False,False,True,True,True,110,Généraliste,km élevé,Rouge,diesel,Break
Renault,238036,120,True,True,False,False,False,False,True,114,Généraliste,km élevé,Noir,diesel,Break
Renault,147228,85,True,True,False,False,False,False,True,103,Généraliste,km élevé,Argent,diesel,Break
Audi,159659,190,True,True,False,True,True,True,True,142,Premium,km élevé,Noir,diesel,Break
Peugeot,123340,105,False,True,False,False,False,True,True,119,Généraliste,km élevé,Marron,diesel,Break
Peugeot,168068,100,False,True,False,False,False,False,True,89,Généraliste,km élevé,Gris,diesel,Break
Citroën,163601,120,False,True,False,False,False,False,True,108,Généraliste,km élevé,Beige,diesel,Break
Citroën,149108,135,False,True,True,False,False,False,True,106,Généraliste,km élevé,Blanc,diesel,Break
Renault,173446,135,True,True,False,False,True,False,True,125,Généraliste,km élevé,Noir,diesel,Break
Citroën,197516,135,True,True,False,False,False,False,True,100,Généraliste,km élevé,Noir,diesel,Break
Peugeot,170832,100,True,True,False,False,False,False,True,101,Généraliste,km élevé,Bleu,diesel,Break
Citroën,149085,135,True,True,False,False,True,False,True,122,Généraliste,km élevé,Noir,diesel,Break
Audi,255957,230,True,True,True,True,True,True,True,133,Premium,km élevé,Gris,diesel,Break
Renault,175024,135,True,True,True,False,True,True,True,117,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,132731,100,True,True,False,False,False,False,True,112,Généraliste,km élevé,Gris,diesel,Break
Audi,214691,120,True,True,False,False,True,False,True,71,Premium,km élevé,Noir,diesel,Break
Citroën,177568,120,False,True,False,False,False,False,True,101,Généraliste,km élevé,Marron,diesel,Break
Citroën,106878,135,False,True,False,False,True,True,True,124,Généraliste,km standard,Blanc,diesel,Break
Peugeot,144727,105,False,True,True,False,True,True,True,120,Généraliste,km élevé,Blanc,diesel,Break
Audi,46731,140,False,False,False,False,False,False,False,109,Premium,km faible,Bleu,diesel,Break
Citroën,150969,135,False,False,False,False,False,False,True,28,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,164900,100,False,True,False,False,False,False,True,85,Généraliste,km élevé,Argent,diesel,Break
Peugeot,150002,100,False,True,False,False,False,True,True,103,Généraliste,km élevé,Rouge,diesel,Break
Renault,117872,85,True,True,False,False,False,False,True,102,Généraliste,km standard,Noir,diesel,Break
Citroën,66314,135,False,False,False,False,False,False,False,127,Généraliste,km standard,Blanc,diesel,Break
Peugeot,216114,105,False,True,False,False,False,False,True,99,Généraliste,km élevé,Bleu,diesel,Break
Peugeot,159505,100,False,False,False,False,False,False,True,100,Généraliste,km élevé,Gris,diesel,Break
Citroën,221904,100,True,False,False,False,True,False,True,35,Généraliste,km élevé,Bleu,diesel,Break
Renault,147243,120,True,True,True,False,True,False,True,128,Généraliste,km élevé,Bleu,diesel,Break
Audi,140638,160,True,True,False,False,True,True,True,133,Premium,km élevé,Noir,diesel,Break
Citroën,123796,135,True,True,False,False,True,True,True,125,Généraliste,km élevé,Noir,diesel,Break
Renault,201102,85,True,False,False,False,False,False,True,94,Généraliste,km élevé,Noir,diesel,Break
Peugeot,238592,90,False,True,False,False,False,False,True,62,Généraliste,km élevé,Gris,diesel,Break
Peugeot,182798,105,True,False,False,False,False,False,True,102,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,116868,105,False,True,False,False,True,False,True,117,Généraliste,km standard,Blanc,diesel,Break
Peugeot,64486,100,True,True,False,False,False,False,True,111,Généraliste,km standard,Bleu,diesel,Break
Peugeot,167013,100,True,True,False,False,False,False,True,111,Généraliste,km élevé,Noir,diesel,Break
Peugeot,319724,90,True,False,False,False,False,False,True,55,Généraliste,km élevé,Gris,diesel,Break
Citroën,103683,120,True,True,True,False,False,False,True,102,Généraliste,km standard,Noir,diesel,Break
Citroën,73416,120,False,True,False,False,False,False,True,130,Généraliste,km standard,Bleu,diesel,Break
Renault,142724,120,True,True,False,False,True,False,True,122,Généraliste,km élevé,Noir,diesel,Break
Citroën,127017,120,False,True,False,False,False,False,True,114,Généraliste,km élevé,Gris,diesel,Break
Citroën,151391,120,False,True,False,False,False,True,True,123,Généraliste,km élevé,Gris,diesel,Break
Renault,88985,135,True,True,False,False,True,False,True,135,Généraliste,km standard,Gris,diesel,Break
Citroën,186684,120,True,True,False,False,False,False,True,107,Généraliste,km élevé,Marron,diesel,Break
Renault,156756,120,True,True,False,False,False,False,True,117,Généraliste,km élevé,Noir,diesel,Break
Citroën,236259,135,False,False,False,False,False,False,True,80,Généraliste,km élevé,Bleu,diesel,Break
Citroën,233375,135,False,True,False,False,False,False,True,98,Généraliste,km élevé,Noir,diesel,Break
Peugeot,195032,100,False,False,False,False,False,False,True,70,Généraliste,km élevé,Gris,diesel,Break
Peugeot,228885,100,True,True,True,False,False,False,True,77,Généraliste,km élevé,Gris,diesel,Break
Renault,214613,85,False,True,False,False,False,False,True,91,Généraliste,km élevé,Blanc,diesel,Break
Peugeot,154190,105,False,True,False,False,True,False,True,106,Généraliste,km élevé,Noir,diesel,Break
Citroën,243093,110,True,False,False,False,False,False,True,37,Généraliste,km élevé,Gris,diesel,Break
Peugeot,79526,105,False,False,False,False,False,False,False,122,Généraliste,km standard,Blanc,diesel,Break
Citroën,169449,135,True,False,False,False,False,False,True,103,Généraliste,km élevé,Marron,diesel,Break
Renault,157968,120,True,True,True,False,True,False,True,119,Généraliste,km élevé,Gris,diesel,Break
Citroën,161034,120,True,True,False,False,True,True,True,122,Généraliste,km élevé,Noir,diesel,Break
Peugeot,197704,100,False,True,False,False,False,False,True,97,Généraliste,km élevé,Marron,diesel,Break
